"u,N,18,0","v,N,18,0","key,N,18,0","osmid,C,80","oneway,N,9,0","lanes,C,80","name,C,80","highway,C,80","maxspeed,C,80","length,N,24,15","from,N,18,0","to,N,18,0","ref,C,80","bridge,C,80","tunnel,C,80","junction,C,80","access,C,80"
182472504,4373150260,0,158617355,1,2,Avenida Circunvalaci??n del Golf de los Incas,secondary,60,102.123,182472504,4373150260,,,,,
182472504,182472505,0,621791093,1,4,Avenida Javier Prado Este,primary,60,165.841,182472505,182472504,,,,,
4373150260,4373150259,0,439641278,0,,,living_street,,81.681,4373150259,4373150260,,,,,
4373150260,392155832,0,158617355,1,2,Avenida Circunvalaci??n del Golf de los Incas,secondary,60,92.364,4373150260,392155832,,,,,
182472505,4214639819,0,621791093,1,4,Avenida Javier Prado Este,primary,60,210.353,4214639819,182472505,,,,,
258069478,8088553083,0,28706975,1,,Salida 3C,motorway_link,60,498.521,258069478,8088553083,,,,,
258069478,315562867,0,1049732446,1,2,Avenida V?¡a de Evitamiento,motorway,80,359.119,258069478,315562867,PE-1S,,,,
258069478,315561768,0,329982466,1,2,Carretera Panamericana Sur,motorway,80,381.984,315561768,258069478,PE-1S,,,,
8088553083,393867304,0,"[465977763, 151307876, 281962927]",1,"['5', '4']",Avenida Javier Prado Este,motorway,"['60', '80']",701.995,8088553083,393867304,,,,,
8088553083,471580193,0,151307876,1,4,Avenida Javier Prado Este,motorway,80,211.17,471580193,8088553083,,,,,
315562867,315562090,0,"[1013534376, 28707069, 1049732446]",1,"['2', '3']",Avenida V?¡a de Evitamiento,motorway,"['90', '80']",130.281,315562867,315562090,"['PE-1N', 'PE-1S']",yes,,,
315562867,315561471,0,28706959,1,,Tr?®bol,motorway_link,40,244.447,315561471,315562867,,,,,
263617519,4354621323,0,326312165,1,2,Avenida Alfredo Benavides,primary,40,5.812,263617519,4354621323,,,,,
263617519,440909342,0,430599609,0,2,Calle Comandante Marko Jara Schenone,residential,,64.23,440909342,263617519,,,,,
4354621323,263626515,0,"[38946019, 24315805, 24315806]",1,2,Avenida Alfredo Benavides,primary,"['60', '50']",624.334,4354621323,263626515,,,yes,,
440909342,440909346,0,33820284,0,2,Jir??n Punta Sal,residential,,110.114,440909346,440909342,,,,,
263624811,386142902,0,370644907,1,,Avenida 28 de Julio,residential,50,69.002,263624811,386142902,,,,,
263624811,263635942,0,341077652,1,2,Avenida Rep??blica de Panam?í,primary,50,87.378,263635942,263624811,,,,,
386142902,386142908,0,33751929,0,,Calle Miguel Aljov?¡n,residential,30,142.479,386142908,386142902,,,,,
263626515,263626516,0,279893868,1,3,Avenida Alfredo Benavides,primary,60,16.095,263626515,263626516,,,,,
263626515,263627088,0,33818372,1,2,Avenida Alfredo Benavides,primary,40,256.773,263627088,263626515,,,,,
263626516,390688566,0,34089989,0,2,Calle Carlos Tenaud,residential,30,137.793,390688566,263626516,,,,,
263626516,390998516,0,279893868,1,3,Avenida Alfredo Benavides,primary,60,97.522,263626516,390998516,,,,,
390688566,390688568,0,34089920,0,3,Calle Pedro Denegri,residential,,65.343,390688568,390688566,,,,,
390688566,390689326,0,"[34089920, 34089918]",0,3,"['Calle Tutumo', 'Calle Pedro Denegri']",residential,40,92.978,390689326,390688566,,,,,
390998516,464003848,0,34109957,1,2,Victor Mostro,residential,30,80.598,390998516,464003848,,,,,
390998516,390998532,0,892110496,1,2,Avenida Alfredo Benavides,primary,60,122.695,390998516,390998532,,,,,
263627079,387416929,0,315743452,1,3,?ôvalo Los Cabitos,primary,40,14.22,263627079,387416929,,,,roundabout,
263627079,263627085,0,315743452,1,3,?ôvalo Los Cabitos,primary,40,62.48,263627085,263627079,,,,roundabout,
263627079,1273650070,0,438661167,1,3,Avenida Aviaci??n,primary,60,53.098,1273650070,263627079,,,,,
387416929,3245719734,0,33818441,1,2,Avenida de Tom?ís Marsano,primary,40,156.004,387416929,3245719734,,,,,
387416929,263627100,0,315743452,1,3,?ôvalo Los Cabitos,primary,40,38.875,387416929,263627100,,,,roundabout,
263627085,1273602685,0,"[28746541, 438893710]",1,3,Avenida Aviaci??n,primary,60,62.027,263627085,1273602685,,,,,
263627085,263627086,0,315743452,1,3,?ôvalo Los Cabitos,primary,40,14.251,263627086,263627085,,,,roundabout,
1273602685,440191849,0,438893710,1,3,Avenida Aviaci??n,primary,60,84.828,1273602685,440191849,,,,,
1273602685,1273650070,0,565490156,1,,,primary_link,,38.622,1273650070,1273602685,,,,,
263627086,263627088,0,315743452,1,3,?ôvalo Los Cabitos,primary,40,29.021,263627088,263627086,,,,roundabout,
263627086,263628772,0,326296450,1,2,Avenida Alfredo Benavides,primary,40,68.094,263628772,263627086,,,,,
263627088,263627090,0,315743452,1,3,?ôvalo Los Cabitos,primary,40,21.144,263627090,263627088,,,,roundabout,
263627090,263627092,0,315743452,1,3,?ôvalo Los Cabitos,primary,40,43.409,263627092,263627090,,,,roundabout,
263627090,390687949,0,"[34089908, 319641231]",1,2,Avenida Santiago de Surco,primary,"['40', '60']",243.034,390687949,263627090,,,,,
263627092,390683810,0,26407451,1,2,Avenida Santiago de Surco,primary,60,77.455,263627092,390683810,,,,,
263627092,316069045,0,315743452,1,3,?ôvalo Los Cabitos,primary,40,17.501,316069045,263627092,,,,roundabout,
390683810,289318410,0,26407451,1,2,Avenida Santiago de Surco,primary,60,167.372,390683810,289318410,,,,,
390683810,390681001,0,34089832,0,2,Jir??n Puerta de Sol,residential,,82.751,390681001,390683810,,,,,
263627096,387442062,0,28746524,1,2,Avenida Paseo la Castellana,secondary,50,64.519,263627096,387442062,,,,,
263627096,316069045,0,315743452,1,3,?ôvalo Los Cabitos,primary,40,35.63,263627096,316069045,,,,roundabout,
387442062,387440835,0,28746524,1,2,Avenida Paseo la Castellana,secondary,50,235.121,387442062,387440835,,,,,
316069045,387440834,0,436776929,1,2,Avenida Paseo la Castellana,secondary,50,301.435,387440834,316069045,,,,,
263628620,263628771,0,326296450,1,2,Avenida Alfredo Benavides,primary,40,146.113,263628620,263628771,,,,,
263628620,411309446,0,"[429899694, 892110495]",1,"['2', '3']",Avenida Alfredo Benavides,primary,60,218.566,411309446,263628620,,,,,
263628620,414231223,0,764095598,1,2,Jir??n Galeano,residential,30,101.265,414231223,263628620,,,,,
263628771,263628772,0,326296450,1,2,Avenida Alfredo Benavides,primary,40,57.919,263628771,263628772,,,,,
263628771,440191945,0,37566632,0,2,Jir??n Barlovento,residential,,116.642,440191945,263628771,,,,,
263628772,414231262,0,35339028,0,2,Jir??n Preciados,residential,20,139.77,414231262,263628772,,,,,
440191945,414231262,0,37566621,0,2,Calle Antana,residential,,53.714,414231262,440191945,,,,,
440191945,440191853,0,37566632,0,2,Jir??n Barlovento,residential,,73.054,440191853,440191945,,,,,
414231262,440191849,0,37566621,0,2,Calle Antana,residential,,54.828,440191849,414231262,,,,,
263635939,4266807083,0,761049506,1,2,Avenida Rep??blica de Panam?í,primary,60,11.879,263635939,4266807083,,,,,
263635939,4266808695,0,28746575,1,2,Avenida Mariscal Ram??n Castilla,secondary,60,47.758,263635939,4266808695,,,,,
263635939,2979651562,0,761049506,1,2,Avenida Rep??blica de Panam?í,primary,60,99.27,2979651562,263635939,,,,,
4266807083,263635941,0,"[761049506, 341077652]",1,2,Avenida Rep??blica de Panam?í,primary,"['60', '50']",163.747,4266807083,263635941,,,,,
4266807083,4266808694,0,436596798,1,2,Avenida Mariscal Ram??n Castilla,secondary,60,48.248,4266808694,4266807083,,,,,
4266808695,386151942,0,28746575,1,2,Avenida Mariscal Ram??n Castilla,secondary,60,24.123,4266808695,386151942,,,,,
4266808695,4266808694,0,427471773,0,1,,secondary_link,,14.067,4266808694,4266808695,,,,,
263635941,263635942,0,341077652,1,2,Avenida Rep??blica de Panam?í,primary,50,112.51,263635941,263635942,,,,,
263635941,386142908,0,33752874,0,,Calle Pedro Yirogoyen Diez Canseco,residential,30,124.186,386142908,263635941,,,,,
386142908,386151367,0,33752874,0,,Calle Pedro Yirogoyen Diez Canseco,residential,30,29.075,386151367,386142908,,,,,
289315317,289315319,0,"[439764107, 439764108, 439764109, 439764110]",1,4,Avenida Panamericana Sur,motorway,80,308.901,289315317,289315319,PE-1S,,,,
289315317,410467381,0,338245233,1,4,Avenida Panamericana Sur,motorway,80,89.956,410467381,289315317,PE-1S,,,,
